TEXT,ENTRY_ID
"KUMARATUNGE,Jeewan",c0a8371a8861139e81886103baf0038c
"KUMARANATHUNGA,Jeewan",c0a8371a8861139e81886103baf0038c
"KUMARATUNGA,Jeewan",c0a8371a8861139e81886103baf0038c
"KUMARATUNGA,Jeevan",c0a8371a8861139e81886103baf0038c
"RAJAPAKSE,Chamal Jayantha",c0a8371a8861139e81886103bc9304cc
"RAJAPAKSA,Chamal Jayantha",c0a8371a8861139e81886103bc9304cc
"RAJAPAKSE,Chamal",c0a8371a8861139e81886103bc9304cc
"RAJAPAKSA,Nirupama Deepika",c0a8371a8861139e81886103bd5a058f
"RAJAPAKSHA,Nirupama Deepika",c0a8371a8861139e81886103bd5a058f
"WICKRAMANAYAKA,Ratnasiri",c0a8371a8861139e81886103bec906c0
"WICKRAMANAYKE,Ratnasiri",c0a8371a8861139e81886103bec906c0
"WICKREMANAYAKE,Ratnasiri",c0a8371a8861139e81886103bec906c0
"KADER,A R M Abdul",c0a8371a8861139e81886103c1b607f0
"MOHIDEEN,Abdul Rahim",c0a8371a8861139e81886103c1b607f0
"CADER,Abdul Rahim Mohideen Abdul",c0a8371a8861139e81886103c1b607f0
"CADER,A R M Abdul",c0a8371a8861139e81886103c1b607f0
"CADER,A R M",c0a8371a8861139e81886103c1b607f0
"KARUNANAYAKE,Ravindra Sandresh",c0a8371a8861139e81886103c205083e
"KARUNANAYAKE,Sandresh Ravindra",c0a8371a8861139e81886103c205083e
"KARUNANAYAKA,Ravi",c0a8371a8861139e81886103c205083e
"KARUNANAYKE,Ravi",c0a8371a8861139e81886103c205083e
"KARUNARATNE,Ravi",c0a8371a8861139e81886103c205083e
"KARUNANAYAKE,Raveendra Sandres",c0a8371a8861139e81886103c205083e
"KODITHUWAKKU,Karunasena",c0a8371a8861139e81886103c59f0a82
"BOGOLLAGAMA,Chandrasekera Rohitha Bandara",c0a8371a8861139e81886103c65b0af3
"UPALI,Piyasoma",c0a8371a8861139e81886103c7ef0c2f
"MUTHTHU,Sivalingum",c0a8371a8861139e81886103c88f0cc0
"SIVALINGAM,Muttu",c0a8371a8861139e81886103c88f0cc0
"RAJAPAKSHA,Rajapakse Mohottige Don Suranimala",c0a8371a8861139e81886103ca330e1d
"RAJAPAKSA,Suranimala",c0a8371a8861139e81886103ca330e1d
"LOKUBANDARA,Wijesinghe Jayaweera Mudiyanselage",c0a8371a8861139e81886103caf50ea7
"FERNANDO,Kalupage Austin",c0a8371a8861139e81886103cd35103d
"HERATH,Herath Mudiyanselage Vijitha",c0a8371a8861139e81886103d1f7129b
"HERATH,Vijiha",c0a8371a8861139e81886103d1f7129b
"HERATH,H M Vijitha",c0a8371a8861139e81886103d1f7129b
"SIRIPALA,Gamalath",c0a8371a8861139e81886103d6dd15d6
"GAMALATH,Siripala",c0a8371a8861139e81886103d6dd15d6
"ASHRAFF,Ferial Ismail",c0a8371a8861139e81886103db08174d
"RATHNAYAKE,Bimal",c0a8371a8861139e81886103db4b1769
"RATHNAYAKA,Bimal",c0a8371a8861139e81886103db4b1769
"WEERAKOON,Bimal Niroshan Rathnayaka",c0a8371a8861139e81886103db4b1769
"EKANAYAKE,T B",c0a8371a8861139e81886103ddbd18f0
"EKANAYAKE,Wijesundera Mudiyanselage Tillekeratne Bandara",c0a8371a8861139e81886103ddbd18f0
"KARANNAGODA,Wasantha Kumar Jayadewa",c0a8371a8861139e81886103df561a08
"KARANNAGODA,Vasantha",c0a8371a8861139e81886103df561a08
"MUSTHAFA,Faizer",c0a8371a8861139e81886103e3151b5b
"MUSTHAPHA,Faiszer",c0a8371a8861139e81886103e3151b5b
"MUSTHAPHA,Faszier",c0a8371a8861139e81886103e3151b5b
"MUSTAPHA,Faiszer",c0a8371a8861139e81886103e3151b5b
"MUSTHAPA,Faizer",c0a8371a8861139e81886103e3151b5b
"MUSTAPHA,Mohamed Faiszer",c0a8371a8861139e81886103e3151b5b
"MUSTHAPHA,Mohamed Faiszer",c0a8371a8861139e81886103e3151b5b
"WARNAPALA,W A Wiswa",c0a8371a8861139e81886103e6eb1c77
"WARNAPALA,Wisva",c0a8371a8861139e81886103e6eb1c77
"WARNAPALA,Watareke Arachchilage Wiswa",c0a8371a8861139e81886103e6eb1c77
"BATHIUDEEN,Abdul Rishad",c0a8371a8861139e81886103ec161e45
"BATHIUDEEN,Rishard",c0a8371a8861139e81886103ec161e45
"BATHIUDEEN,Rishad",c0a8371a8861139e81886103ec161e45
"BADHIUTHEEN,Abthul Risad",c0a8371a8861139e81886103ec161e45
"RISHAD,Abdul",c0a8371a8861139e81886103ec161e45
"BADHIUTHEEN,Risad",c0a8371a8861139e81886103ec161e45
"BATHIYUTHEEN,Rishad",c0a8371a8861139e81886103ec161e45
"JAYAWARDENA,D H S",c0a8371a8861139e81886103ed681f41
"JAYAWARDENA,Harry Stassen",c0a8371a8861139e81886103ed681f41
"JAYAWARDENA,Don Harold Stassen",c0a8371a8861139e81886103ed681f41
"JAYAWARDENE,Harry",c0a8371a8861139e81886103ed681f41
"PREMADASA,Champilka",c0a8371a8861139e81886103f5ec2263
"PREMADASA,Abathenna Dewayalage Champika",c0a8371a8861139e81886103f5ec2263
